id;start_date;end_date;language
1;2019-08-04T19:17:45;2019-08-04T12:26:02;FRENCH
2;2019-08-04T20:47:51;2019-08-04T05:54:01;ENGLISH
3;2019-08-04T16:19:55;2019-08-04T07:43:55;SPANISH
4;2019-08-04T05:31:47;2019-08-04T12:58:48;FRENCH
5;2019-08-04T14:30:25;2019-08-04T19:14:34;FRENCH
6;2019-08-04T20:47:26;2019-08-04T22:04:22;ENGLISH
7;2019-08-04T06:09:46;2019-08-04T18:50:33;ENGLISH
8;2019-08-04T03:41:05;2019-08-04T11:41:14;FRENCH
9;2019-08-04T13:29:11;2019-08-04T21:53:49;ENGLISH
10;2019-08-04T16:47:20;2019-08-04T14:03:35;SPANISH
